"[ src/simtellus/temp_stability_test.rb (and planet & sim) ] LOG_DISABLE: true"
Simulating 1428 days starting from 2088-01-01...
Day, Temperature
0, -13.004887254288448
1, -12.946836649077044
2, -12.884126501245987
3, -12.816775393165477
4, -12.744803282422396
5, -12.66823149590644
6, -12.58708272349051
7, -12.501381011307206
8, -12.411151754623443
9, -12.316421690315282
10, -12.217218888945222
11, -12.113572746444277
12, -12.00551397540134
13, -11.893074595962371
14, -11.776287926342135
15, -11.655188572951307
16, -11.529812420141832
17, -11.400196619573627
18, -11.26637957920574
19, -11.12840095191524
20, -10.98630162374721
21, -10.84012370179935
22, -10.689910501744704
23, -10.53570653499632
24, -10.377557495517536
25, -10.215510246281886
26, -10.049612805386584
27, -9.87991433182373
28, -9.706465110913433
29, -9.529316539403185
30, -9.348521110237911
31, -9.164132397005153
32, -8.976205038060076
33, -8.78479472033494
34, -8.589958162837863
35, -8.391753099845747
36, -8.190238263796372
37, -7.985473367884705
38, -7.777519088368592
39, -7.56643704658908
40, -7.352289790710664
41, -7.135140777186944
42, -6.915054351957082
43, -6.692095731378732
44, -6.46633098290301
45, -6.237827005497287
46, -6.006651509821598
47, -5.77287299816448
48, -5.536560744144293
49, -5.297784772181938
50, -5.056615836751117
51, -4.81312540141225
52, -4.56738561763628
53, -4.319469303424638
54, -4.069449921731701
55, -3.8174015586961225
56, -3.5633989016875187
57, -3.3075172171749863
58, -3.0498323284240314
59, -2.7904205930284807
60, -2.5293588802840947
61, -2.2667245484105383
62, -2.0025954216284525
63, -1.7370497670984797
64, -1.4701662717290045
65, -1.2020240188595164
66, -0.9327024648265301
67, -0.6622814154189349
68, -0.3908410022298394
69, -0.11846165891183347
70, 0.1547759026572315
71, 0.4287907162909086
72, 0.703501585486201
73, 0.9788271074838111
74, 1.2546856973895686
75, 1.5309956123497628
76, 1.8076749757733364
77, 2.0846418015936763
78, 2.3618140185628604
79, 2.639109494571132
80, 2.9164460609844234
81, 3.1937415369926967
82, 3.470913753961881
83, 3.7478805797822226
84, 4.024559943205794
85, 4.3008698581659885
86, 4.576728448071744
87, 4.852053970069356
88, 5.1267648392646485
89, 5.400779652898329
90, 5.674017214467391
91, 5.946396557785398
92, 6.217836970974492
93, 6.488258020382087
94, 6.757579574415075
95, 7.025721827284563
96, 7.292605322654037
97, 7.55815097718401
98, 7.822280103966094
99, 8.08491443583965
100, 8.345976148584036
101, 8.605387883979589
102, 8.863072772730543
103, 9.118954457243074
104, 9.37295711425168
105, 9.625005477287257
106, 9.875024858980193
107, 10.122941173191837
108, 10.368680956967808
109, 10.612171392306674
110, 10.853340327737495
111, 11.092116299699853
112, 11.328428553720038
113, 11.562207065377155
114, 11.793382561052844
115, 12.021886538458567
116, 12.247651286934289
117, 12.470609907512639
118, 12.690696332742501
119, 12.907845346266221
120, 13.121992602144633
121, 13.333074643924153
122, 13.541028923440262
123, 13.745793819351928
124, 13.947308655401304
125, 14.14551371839342
126, 14.3403502758905
127, 14.531760593615633
128, 14.719687952560712
129, 14.904076665793468
130, 15.08487209495874
131, 15.262020666468988
132, 15.435469887379288
133, 15.605168360942141
134, 15.771065801837441
135, 15.93311305107309
136, 16.091262090551876
137, 16.24546605730026
138, 16.395679257354907
139, 16.541857179302767
140, 16.683956507470796
141, 16.821935134761294
142, 16.955752175129184
143, 17.08536797569739
144, 17.21074412850686
145, 17.331843481897693
146, 17.448630151517925
147, 17.5610695309569
148, 17.669128301999834
149, 17.77277444450078
150, 17.87197724587084
151, 17.966707310179004
152, 18.056936566862763
153, 18.142638279046068
154, 18.223787051461997
155, 18.300358837977953
156, 18.372330948721036
157, 18.439682056801544
158, 18.5023922046326
159, 18.560442809844
160, 18.6138166707886
161, 18.66249797163949
162, 18.706472287076597
163, 18.745726586561215
164, 18.780249238197232
165, 18.810030012177908
166, 18.835060083817186
167, 18.85533203616465
168, 18.870839862203315
169, 18.88157896662965
170, 18.887546167215223
171, 18.88873969574973
172, 18.88515919856491
173, 18.876805736639344
174, 18.86368178528409
175, 18.845791233409177
176, 18.82313938237122
177, 18.795732944402555
178, 18.76358004062224
179, 18.726690198629573
180, 18.685074349680892
181, 18.638744825450374
182, 18.587715354375927
183, 18.53200105759114
184, 18.471618444444555
185, 18.40658540760762
186, 18.336921217772662
187, 18.262646517942624
188, 18.183783317314035
189, 18.100354984755253
190, 18.01238624188174
191, 17.91990315573054
192, 17.822933131036017
193, 17.721504902109277
194, 17.61564852432356
195, 17.50539536520816
196, 17.39077809515358
197, 17.271830677730588
198, 17.14858835962606
199, 17.02108766019864
200, 16.889366360657252
201, 16.753463492865727
202, 16.613419327776825
203, 16.469275363499065
204, 16.321074312999926
205, 16.16886009144913
206, 16.012677803205563
207, 15.85257372845193
208, 15.688595309480899
209, 15.520791136636966
210, 15.349210933918055
211, 15.173905544241222
212, 14.99492691437684
213, 14.812328079555613
214, 14.626163147753104
215, 14.436487283656366
216, 14.24335669231748
217, 14.046828602498756
218, 13.846961249714639
219, 13.643813858975236
220, 13.43744662723671
221, 13.227920705563587
222, 13.015298181008415
223, 12.79964205821398
224, 12.5810162407437
225, 12.359485512145636
226, 12.135115516755683
227, 11.907972740245786
228, 11.678124489922766
229, 11.445638874783722
230, 11.210584785333864
231, 10.973031873172793
232, 10.73305053035519
233, 10.490711868532149
234, 10.246087697879268
235, 9.999250505817727
236, 9.750273435534723
237, 9.49923026430955
238, 9.246195381651788
239, 8.99124376725812
240, 8.734450968794178
241, 8.47589307950821
242, 8.215646715682936
243, 7.953788993932541
244, 7.690397508351328
245, 7.425550307520922
246, 7.159325871382812
247, 6.891803087983014
248, 6.623061230095864
249, 6.353179931733784
250, 6.082239164549975
251, 5.810319214141156
252, 5.537500656257144
253, 5.263864332924534
254, 4.989491328491493
255, 4.71446294560068
256, 4.438860681097562
257, 4.162766201881084
258, 3.886261320704044
259, 3.609427971930206
260, 3.332348187255345
261, 3.055104071399562
262, 2.777777777777782
263, 2.5004514841560006
264, 2.223207368300212
265, 1.946127583625362
266, 1.669294234851522
